label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,avg_turnover,avg_transaction_cost,suite,window_id,param_name,param_value,fold,train_end,test_end
factor_only_tf0.40,0.2230967429857404,0.2101524790509746,0.8950488468405228,-0.32894617852976604,0.6782165313508491,-1.7626300541017466,0.02118891043791069,2.318707385751014e-05,ablation,full_sample,train_frac,0.4,,,
factor_only_tf0.50,0.24253194029726768,0.21792308708633024,0.952317322358235,-0.32359501226101256,0.7494921850239118,-1.7120095361126975,0.021555601220130623,2.3634043990065775e-05,ablation,full_sample,train_frac,0.5,,,
factor_only_tf0.60,0.13914094486945175,0.16633117584360047,0.6261059484501867,-0.17676169785986717,0.78716678263688,-1.544699041706387,0.020922947980391893,2.2703529548769e-05,ablation,full_sample,train_frac,0.6,,,
alpha_stack_fixed_weights_tf0.40,0.1364687017192986,0.14186302059441017,0.7152582409535579,-0.1967372279624231,0.6936597419618353,-1.1763042438484796,0.09233733883554678,0.00010055845435865605,ablation,full_sample,train_frac,0.4,,,
alpha_stack_fixed_weights_tf0.50,0.12243149223722821,0.14481041148385385,0.603765194116065,-0.1921728482941485,0.6370904472359412,-1.2449024011386716,0.10169888871937544,0.00011120774963383546,ablation,full_sample,train_frac,0.5,,,
alpha_stack_fixed_weights_tf0.60,0.038328113717545076,0.11750031074830637,0.028324294745323438,-0.18575653273675088,0.20633520172617897,-1.1466228711938427,0.10210711924436164,0.00011070010780686446,ablation,full_sample,train_frac,0.6,,,
alpha_stack_no_rl_tf0.40,0.1333294765796375,0.14052699614706465,0.6997194295645458,-0.19539312187141755,0.6823652157199553,-1.1958251901800427,0.10115931904084491,0.00011016628416301578,ablation,full_sample,train_frac,0.4,,,
alpha_stack_no_rl_tf0.50,0.11421263941704404,0.14499331196605028,0.546319225899186,-0.20970531090046085,0.5446339602954398,-1.2458167963379967,0.11030903267169845,0.00012059020077507111,ablation,full_sample,train_frac,0.5,,,
alpha_stack_no_rl_tf0.60,0.03300428689009685,0.11762113580429902,-0.016967298662637322,-0.18012365528927657,0.18323126412674504,-1.1486120622436098,0.11118737398127237,0.0001205553366086227,ablation,full_sample,train_frac,0.6,,,
portfolio_rl_fixed_weights_tf0.40,0.120917770718936,0.13041401353276474,0.6588077600209178,-0.1753365341518457,0.68963245114617,-1.1223398935453168,0.12810259993999223,0.00013942069019801944,ablation,full_sample,train_frac,0.4,,,
portfolio_rl_fixed_weights_tf0.50,0.09866019132940221,0.1288184953560903,0.4941851417498415,-0.1583070780311207,0.6232203027447966,-1.1173985611437718,0.13301805107480125,0.0001453520173114838,ablation,full_sample,train_frac,0.5,,,
portfolio_rl_fixed_weights_tf0.60,0.027595852726745144,0.10677392256594624,-0.06934414697783912,-0.163636572237124,0.1686410969324469,-1.0367870018010794,0.13344865775603343,0.00014467713430646012,ablation,full_sample,train_frac,0.6,,,
full_pipeline_tf0.40,0.11549020299186866,0.1289300965516018,0.6242933101094894,-0.16639305152239225,0.694080642156624,-1.119412698623951,0.1327007621168323,0.00014443200872377154,ablation,full_sample,train_frac,0.4,,,
full_pipeline_tf0.60,0.024035870788132976,0.1067881592284714,-0.10267175934451565,-0.15873849642404564,0.15141802282002595,-1.0604731548176596,0.13882068516831042,0.00015044616549703745,ablation,full_sample,train_frac,0.6,,,
full_pipeline_fixed_weights_tf0.40,0.11916774459974118,0.12945842391759435,0.6501526555876416,-0.1721100366608883,0.692392727279539,-1.096804589924097,0.1300766148240156,0.00014153398322383213,ablation,full_sample,train_frac,0.4,,,
