component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
factor_only,0.20158987605081993,0.19813558066030176,0.8244907058829815,-0.2764342962168819,0.7382918330038803
alpha_stack_fixed_weights,0.09907610255802396,0.13472458094219011,0.44911590993831546,-0.19155553633110747,0.5123617969746518
alpha_stack_no_rl,0.09351546762892614,0.13438048130580466,0.4096904522670315,-0.19507402935371831,0.4700768133807134
portfolio_rl_fixed_weights,0.08239127159169445,0.12200214381826709,0.36121625159764004,-0.16576006147336345,0.4938312836078045
full_pipeline_fixed_weights,0.08129265116758742,0.12179337026480075,0.3465956259509979,-0.16618376286283576,0.4938323857063646
full_pipeline,0.07374509421830862,0.12166838668263417,0.29430163198228443,-0.1693363235312333,0.43076544147901785
