label,ann_return_point,ann_return_ci_low,ann_return_ci_high,sharpe_point,sharpe_ci_low,sharpe_ci_high,calmar_point,calmar_ci_low,calmar_ci_high,max_dd_point,max_dd_ci_low,max_dd_ci_high,bootstrap_samples,bootstrap_block_size
full_pipeline,0.08170920887492422,-0.01142971168924745,0.1779338209838894,0.3612833451818795,-0.3762858160333081,1.1387485391511287,0.44679765946040356,-0.04457060301562541,1.2254508756423492,-0.18287742264726192,-0.39437008173952776,-0.12834876613544996,400,20
SPY,0.15112013770103178,0.021160906376979288,0.29220672984461804,0.5759371851662356,-0.06676941364613964,1.4756808547263773,0.44819812323166913,0.04482732580564586,1.7687667723376572,-0.3371726149351546,-0.5238768679404869,-0.14925529491559272,400,20
factor_benchmark,0.2651164132564321,0.11566002247870008,0.4086449102654758,0.9995222177353643,0.32588425795099074,1.706234102464283,0.7854090979201158,0.24506949687602997,2.3257584495326484,-0.33755199182745677,-0.5212844672177542,-0.15354592375049608,400,20
vol_target,0.16210201054612122,0.036745340485574506,0.2504985651268408,0.8873418027558687,0.010568288796658092,1.6353585984194772,0.7861116025640323,0.11468430261768536,1.7559420403732169,-0.20620736566701578,-0.37584313869324465,-0.12184595451007815,400,20
dd_delever,0.1919904115877549,0.057908142942367014,0.31845607619648525,0.9188382281443026,0.12737973039975808,1.6590353892782526,0.8985896245431566,0.18748300757032105,1.881349305050339,-0.21365748875574506,-0.39635894776032093,-0.14777648586000994,400,20
e2e_rl,0.08008962242864653,0.019280901376324353,0.13893767186507303,0.5034961579857391,-0.1586743049535863,1.2407167390720952,0.5287992794959896,0.10908107063971786,1.628901733321526,-0.151455609427057,-0.2349203692601902,-0.07707063876155165,400,20
