base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size
full_pipeline,SPY,-0.2146538399843561,-0.9265153374991927,0.4169772460049175,0.575,-0.06941092882610755,-0.1775374933332026,0.03964614603502174,0.215,-0.0014004637712655699,-0.9018187367339803,0.42660440733493493,0.73,400,20
full_pipeline,factor_benchmark,-0.6382388725534849,-1.2347298560430102,-0.1957325755876378,0.005,-0.18340720438150787,-0.26988895074332486,-0.08599034911904312,0.005,-0.33861143845971226,-1.4890210938294781,-0.04765828949999925,0.025,400,20
full_pipeline,vol_target,-0.5260584575739893,-1.0855097583809878,-0.028510125069473594,0.045,-0.080392801671197,-0.15388690652532144,-0.0171083895063614,0.02,-0.3393139431036288,-1.3149908655832394,0.0922173881556855,0.08,400,20
full_pipeline,dd_delever,-0.5575548829624231,-1.0539335041463183,-0.07659678265704524,0.035,-0.11028120271283068,-0.18947891155180377,-0.0349291479772534,0.01,-0.45179196508275304,-1.3740614575717682,0.05531069246111869,0.065,400,20
full_pipeline,e2e_rl,-0.1422128128038596,-1.148131190033365,0.9902870037702778,0.775,0.0016195864462776877,-0.09969824369016868,0.13162295275880856,0.925,-0.08200162003558603,-1.345228143486259,0.7086367435856195,0.59,400,20
