component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
alpha_engine_no_control,0.09325493060215172,0.13436127020357466,0.40793158748397,-0.19507591859309648,0.4687558702810592
A1_fixed,0.08975510774410199,0.12758785537309134,0.40267997854748755,-0.18601136418869454,0.47288824024836135
A2_vol_target,0.07112580054223805,0.10064844380364096,0.35460293648242297,-0.13520826828115504,0.5161396188467249
A3_dd_delever,0.06501798368463708,0.11752327405874752,0.2383696642479616,-0.1859015720245931,0.34647089209776083
A4_regime_rules,0.08796336185540883,0.11968132762494171,0.41715320716888177,-0.15784350811481876,0.5470892854980851
A5_ensemble_mean,0.07488244983433064,0.1150821488882172,0.3320759501536033,-0.15270160566575733,0.48781545428819434
B1_linucb,0.08756191881667814,0.1214840531506743,0.41775150565790553,-0.1753825667679362,0.4924321742247501
B2_thompson,0.08029355661627836,0.12336569447996774,0.35394690311425125,-0.18084011972019867,0.4316391527168522
B3_epsilon_greedy,0.08186919449799407,0.1233555673917263,0.37208631373325013,-0.18295035889329014,0.4404520208999691
C_supervised,0.0868948240776975,0.12513226263746394,0.3974484984695918,-0.18988576030223756,0.4432402928791077
D_cvar_robust,0.17732348014045252,0.173517959467799,0.809117588995416,-0.264062738894774,0.6874314492201598
D_plus_convexity,0.17769375460049733,0.16545974099314287,0.8443581610633483,-0.1855297101716319,0.9469551310991298
H_mpc,0.06028960782993443,0.04482135880584338,0.5563592109518627,-0.06693607047468415,0.9288924697187321
E_council,0.1282951541096525,0.14034410824151192,0.6471062038211542,-0.2085587634525505,0.6106364841004832
E_plus_convexity,0.12056914713916345,0.13555990736395895,0.6079622541905828,-0.17869059566898668,0.6690446668849853
G_mlp_meta,0.12198238487734146,0.13873144367892962,0.6124817441650648,-0.19802061850175487,0.6165386927280512
G_plus_convexity,0.11243595924397519,0.13404976879845748,0.5607213606026661,-0.17800151412310425,0.6301157140789899
F_cmdp_lagrangian,0.08193654060041106,0.12305450386937217,0.36776503074161226,-0.18490165683045942,0.4330288478679216
RL_q_learning,0.0828387501658222,0.11076139694822347,0.4252134205857147,-0.14950218859134326,0.5995229373946882
