label,ann_return_point,ann_return_ci_low,ann_return_ci_high,sharpe_point,sharpe_ci_low,sharpe_ci_high,calmar_point,calmar_ci_low,calmar_ci_high,max_dd_point,max_dd_ci_low,max_dd_ci_high,bootstrap_samples,bootstrap_block_size
full_pipeline,0.17179020367697018,0.033332166622871154,0.28993077632757774,1.2324681936850475,-0.014553154695753228,2.426996728324313,1.6771370582785539,0.18127584330557733,4.623238853423599,-0.10243061892742886,-0.19742679479558942,-0.0584200202575143,400,20
SPY,0.17930760199165652,0.02702147746578548,0.3401666894520593,0.9199960120140458,-0.0382920677644872,2.1560844182833083,0.9560403011676465,0.11518251815250409,4.032932239140787,-0.18755233666641322,-0.2607155369343641,-0.0757418739593888,400,20
factor_benchmark,0.3311449443952597,0.1774029136229923,0.48020592186385164,1.9352206779567172,0.8819495439615495,3.2433168520238507,2.0062070720260787,1.071263110958647,5.973298645437363,-0.16506019191666196,-0.21066009743210054,-0.06878468550538314,400,20
vol_target,0.2887928691451987,0.13115377115397991,0.4293300792147411,1.9231655920401547,0.6787606598506022,3.1844435121040493,1.9494289608744466,0.7509056646683093,5.937651636787536,-0.14814227932746346,-0.20179851785913233,-0.06381415515729708,400,20
dd_delever,0.30153333142532135,0.13808706839701754,0.444970686146934,1.9482054905637265,0.7629156156180731,3.350952498681998,2.0206281974900078,0.7567659412573507,6.110406102792975,-0.14922750835289703,-0.21538122459998357,-0.06877507194303127,400,20
e2e_rl,0.09099790643190257,-0.002066824376844046,0.17990711649901925,0.6153331523957863,-0.4239208005916839,2.0375651107291333,0.6508540339503603,-0.016334392940765996,3.2726249873887396,-0.13981306894734943,-0.1837445621477812,-0.039525321019427,400,20
