label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,suite,window_id,param_name,param_value
SPY,-0.08345373982939112,0.23307656846843822,-0.5082181170144103,-0.2209484533777356,-0.3777068125009669,-2.4747238189633634,rolling_reference,0,benchmark,SPY
factor_benchmark,0.0459840725270273,0.20705545885564905,0.05304893702027721,-0.17334079193471666,0.2652812956544746,-2.020288052379191,rolling_reference,0,benchmark,factor_benchmark
vol_target,0.033022611496432736,0.15857943635445104,-0.012469387105485794,-0.14025528356502678,0.23544645379906756,-1.4845972614493887,rolling_reference,0,benchmark,vol_target
dd_delever,-0.09951063036128768,0.1262701674352784,-1.0652604842519766,-0.16289106134252188,-0.6109029153110551,-1.2498872910217291,rolling_reference,0,benchmark,dd_delever
SPY,0.1953986981004157,0.1726164054509555,0.9292204202096229,-0.07538749905478738,2.5919240541348967,-1.5826525983326007,rolling_reference,1,benchmark,SPY
factor_benchmark,0.3111462397732764,0.15096193335047794,1.829244070687184,-0.05365851915133902,5.798635271863613,-1.3522843155028548,rolling_reference,1,benchmark,factor_benchmark
vol_target,0.268609848445055,0.12920669553091801,1.8080319243892047,-0.0536421425407527,5.0074397786514675,-1.1964818976431442,rolling_reference,1,benchmark,vol_target
dd_delever,0.3111462397732764,0.15096193335047794,1.829244070687184,-0.05365851915133902,5.798635271863613,-1.3522843155028548,rolling_reference,1,benchmark,dd_delever
SPY,0.28420550752096696,0.11439632581328776,2.1784395955453353,-0.09974310240801279,2.8493747654312775,-1.2007768192331683,rolling_reference,2,benchmark,SPY
factor_benchmark,0.34737382948629025,0.10662266276308967,2.929712990597877,-0.07372267529968932,4.711898760526486,-0.9159335387735397,rolling_reference,2,benchmark,factor_benchmark
vol_target,0.34737382948629025,0.10662266276308967,2.929712990597877,-0.07372267529968932,4.711898760526486,-0.9159335387735397,rolling_reference,2,benchmark,vol_target
dd_delever,0.34737382948629025,0.10662266276308967,2.929712990597877,-0.07372267529968932,4.711898760526486,-0.9159335387735397,rolling_reference,2,benchmark,dd_delever
SPY,0.3131902006587739,0.12403763029884998,2.242788559896146,-0.08405606043204401,3.725967667165404,-1.356009959622731,rolling_reference,3,benchmark,SPY
factor_benchmark,0.4657995502257217,0.14887213249915432,2.8937552922513285,-0.06878468550538273,6.771848691098309,-1.1288770372702814,rolling_reference,3,benchmark,factor_benchmark
vol_target,0.4164557119531304,0.1265282548008868,3.0147865581924655,-0.06383962037201212,6.5234668422470765,-1.0182868077870904,rolling_reference,3,benchmark,vol_target
dd_delever,0.4657995502257217,0.14887213249915432,2.8937552922513285,-0.06878468550538273,6.771848691098309,-1.1288770372702814,rolling_reference,3,benchmark,dd_delever
SPY,0.10030748603830968,0.13867100978008737,0.4709526629419623,-0.10035415929823949,0.9995348149433526,-1.5895684047352785,rolling_reference,4,benchmark,SPY
factor_benchmark,0.33493060848023326,0.1618863288148628,1.852723402579641,-0.08973434315208666,3.7324680762179754,-1.5387641509579761,rolling_reference,4,benchmark,factor_benchmark
vol_target,0.26912122182419634,0.13659279110921393,1.7140084976879766,-0.0870094411230366,3.0930113723352046,-1.3759905536431118,rolling_reference,4,benchmark,vol_target
dd_delever,0.3205639259567253,0.1609286530466438,1.7744752274115212,-0.08981274334340562,3.5692472841916527,-1.5387641509579761,rolling_reference,4,benchmark,dd_delever
SPY,0.18459582112619247,0.1937234933872749,0.7722130691965328,-0.18755233666641302,0.9842362647401095,-1.659756026804818,rolling_reference,5,benchmark,SPY
factor_benchmark,0.29469210078056773,0.16783237263153583,1.5473301201395884,-0.16506019191666182,1.7853613248901543,-1.379228101919611,rolling_reference,5,benchmark,factor_benchmark
vol_target,0.23447801788011782,0.13962347859885657,1.4286852440224118,-0.1481422793274635,1.582789215318606,-1.2374828730524299,rolling_reference,5,benchmark,vol_target
dd_delever,0.22089808115706794,0.12813362440742637,1.4508140818512025,-0.1492275083528965,1.4802771204348741,-1.1748801662350246,rolling_reference,5,benchmark,dd_delever
