component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
factor_only,0.09243266212242439,0.13398227237553975,0.40168579025595674,-0.1975479719791707,0.4604253504312575
A1_fixed,0.08992393947441751,0.12725211746202006,0.40418711715449107,-0.18604069929980047,0.4764145700933558
A2_vol_target,0.06895473348194346,0.10015672037439705,0.3350499038898958,-0.13349130415848612,0.5107610307667614
A3_dd_delever,0.06635087233422626,0.11709293618310392,0.25097218288220996,-0.18387160046229534,0.36216965605783225
A4_regime_rules,0.08750523456706116,0.11941139728021936,0.4149576067935356,-0.16110119924847852,0.5389969694042043
A5_ensemble_mean,0.07357745033489216,0.11491951144860492,0.32037819891287994,-0.15309002841934674,0.4841567962590645
A5_ensemble_min,0.06603582832173334,0.10145929709157599,0.2969795378695152,-0.12747601282091958,0.5149793713981986
B1_linucb,0.09024259592928224,0.12292188607091759,0.4243765562215813,-0.17962338597046168,0.4977981248538872
B2_thompson,0.07907866665861658,0.12314604358214211,0.3335792436925434,-0.18643251786821816,0.4166985199352731
B3_epsilon_greedy,0.08442620852065696,0.12298268495042615,0.3733176582354194,-0.1800621895048625,0.45969702829558146
C_supervised,0.08867416896793305,0.12453504569147639,0.3953966107447911,-0.19228386972092484,0.45393181652723263
D_cvar_robust,0.1764020412036995,0.17315591561499702,0.8051270816573334,-0.26381270162769427,0.6814355311105893
RL_q_learning,0.0791315309935786,0.12101857776387932,0.3415005661463803,-0.1832612141179207,0.42444671882045126
