label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,suite,window_id,param_name,param_value
SPY,0.2403581274775231,0.3335803822879108,0.6156181005395545,-0.33717259886422957,0.7128637414740558,-3.1624082830135425,rolling_reference,0,benchmark,SPY
factor_benchmark,0.3908604383477056,0.37325898485501724,0.9533874421055288,-0.39187009272280443,0.9974234717880149,-2.5078272541187188,rolling_reference,0,benchmark,factor_benchmark
vol_target,0.13671811530252526,0.1840645856502663,0.55262183877988,-0.24883800159668437,0.5494261685554593,-1.8664127129253394,rolling_reference,0,benchmark,vol_target
dd_delever,0.16801504314377635,0.20457324685713832,0.6502073887236691,-0.25609501437615717,0.6560652381008103,-2.1428583838811757,rolling_reference,0,benchmark,dd_delever
SPY,0.25977103445831734,0.12569350883671276,1.7882468128711968,-0.05114153662911369,5.07945206159322,-1.3053532500725964,rolling_reference,1,benchmark,SPY
factor_benchmark,0.44281123634632824,0.2768291457985235,1.4731513202429212,-0.1712563043301596,2.5856637057635528,-2.2988923326302513,rolling_reference,1,benchmark,factor_benchmark
vol_target,0.22870608221752775,0.15354738919748728,1.2615393242082191,-0.0940120888705366,2.432730307749828,-1.5257325895340665,rolling_reference,1,benchmark,vol_target
dd_delever,0.27918625898111965,0.23643084844790657,1.0328019810278777,-0.15256758908706666,1.8299184142092633,-2.267071105865017,rolling_reference,1,benchmark,dd_delever
SPY,-0.12575714767545484,0.24021692839720443,-0.6692165371354416,-0.24496404685184586,-0.5133697951104423,-2.615042990097601,rolling_reference,2,benchmark,SPY
factor_benchmark,-0.002933988801485987,0.24082769045274183,-0.15751505632521648,-0.1854092263574572,-0.015824393968321207,-2.5898567942773982,rolling_reference,2,benchmark,factor_benchmark
vol_target,0.0037440916136202117,0.1615140515120573,-0.19351818717063518,-0.11729514455965726,0.031920258152828784,-1.7767638038943623,rolling_reference,2,benchmark,vol_target
dd_delever,-0.0863479737093455,0.13465298560554223,-0.9011903015126899,-0.16593163900646044,-0.5203827854804456,-1.5207293849747718,rolling_reference,2,benchmark,dd_delever
SPY,0.1784581242748821,0.13610947471057405,1.05399065010006,-0.0997431024080123,1.7891774175331097,-1.3882393702374622,rolling_reference,3,benchmark,SPY
factor_benchmark,0.0725719085848759,0.13954876250109127,0.2692385458609612,-0.10143789037273065,0.7154318880636578,-1.4899606142139281,rolling_reference,3,benchmark,factor_benchmark
vol_target,0.055683200062015145,0.12851998350514882,0.1609337154314945,-0.10126563222395664,0.5498725810563422,-1.3002757551036808,rolling_reference,3,benchmark,vol_target
dd_delever,0.03774373019461534,0.13251180585603947,0.02070555125133988,-0.10141190167299652,0.37218241498415183,-1.4899606142139281,rolling_reference,3,benchmark,dd_delever
SPY,0.29469690006633653,0.12124825465544724,2.141860758208132,-0.08405627181309994,3.505947368949751,-1.3242621234244374,rolling_reference,4,benchmark,SPY
factor_benchmark,0.30085403377927,0.11371033308744954,2.337993418723691,-0.04482396811507618,6.711899443795243,-0.9919903294233431,rolling_reference,4,benchmark,factor_benchmark
vol_target,0.2806972951985819,0.10932951800726937,2.247309575709916,-0.04271680623507408,6.571119290676582,-0.9919903294233385,rolling_reference,4,benchmark,vol_target
dd_delever,0.30085403377927,0.11371033308744954,2.337993418723691,-0.04482396811507618,6.711899443795243,-0.9919903294233431,rolling_reference,4,benchmark,dd_delever
SPY,0.14512698220236336,0.1966443746475115,0.5600311567491129,-0.18755238717833628,0.7737943336675551,-1.6709615700621478,rolling_reference,5,benchmark,SPY
factor_benchmark,0.13310451273052382,0.15773926501752822,0.6219409384227378,-0.13952103618787848,0.954010282801964,-1.3022517839734742,rolling_reference,5,benchmark,factor_benchmark
vol_target,0.09816510310926199,0.14230978443837242,0.4438563301882625,-0.1325518862163665,0.740578640602965,-1.2415927115312673,rolling_reference,5,benchmark,vol_target
dd_delever,0.07795367459672473,0.138684053881657,0.3097232183315474,-0.12933133734398453,0.602743852883479,-1.2880001014008564,rolling_reference,5,benchmark,dd_delever
