component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
alpha_engine_no_control,0.10458895558859937,0.12063006872115974,0.5814741160878086,-0.11959964994772583,0.9044430937410651
A1_fixed,0.10084130634520738,0.11416769203027143,0.5813832830546158,-0.11320618747744769,0.9162177599010617
A2_vol_target,0.08788920655099526,0.1016046993714216,0.5203956387380283,-0.10372557870936588,0.8522017407138684
A3_dd_delever,0.08979669010264128,0.11323479362272966,0.4877068802229469,-0.11732423672447993,0.8060976069361239
A4_regime_rules,0.09433520401069906,0.1092636752511869,0.5456477236542816,-0.10422201782965239,0.9206106245447249
A5_ensemble_mean,0.09145245885955533,0.11009856387379718,0.5156086052070034,-0.10834034389285092,0.8696132139139706
B1_linucb,0.09925322187340678,0.11102118544719865,0.581975690952349,-0.1076051163751119,0.9485514219265396
B2_thompson,0.08502334337430871,0.10903149001294991,0.4621808361770518,-0.11722067170310772,0.7539400619418299
B3_epsilon_greedy,0.0950544512430076,0.10898809694943908,0.5540375797410433,-0.11014563257743348,0.8904427237723743
C_supervised,0.09755086712779898,0.10700913826477287,0.5860074170935469,-0.11665658464690572,0.861827106147965
D_cvar_robust,0.13982859358066393,0.15107761878692993,0.7025460788500791,-0.14474218193515487,0.9712692671267771
D_plus_convexity,0.12883722967523836,0.14771781156571098,0.6416948449563133,-0.1405209197357661,0.9164707765174551
H_mpc,0.060533682905691465,0.04011188314167341,0.6449302626442792,-0.039014105925247684,1.6012853412071912
E_council,0.11641368897120531,0.12700360429329416,0.6472970407320414,-0.1238081423174085,0.9443555369393238
E_plus_convexity,0.09459148196287832,0.12534274600559614,0.4816792004396273,-0.13092664094156478,0.7335122468870865
G_mlp_meta,0.11153349077755485,0.12648328318332352,0.6094527217244892,-0.12304105536745068,0.9174796021891458
G_plus_convexity,0.09691460413012054,0.12382925238873854,0.5045591146168373,-0.12974839338815683,0.7666643550012225
F_cmdp_lagrangian,0.09419021060260047,0.11061010190860032,0.5398655812833439,-0.11011262238780643,0.888953272220177
RL_q_learning,0.09934119856886871,0.11204145254066607,0.5786834532384023,-0.10859411306368179,0.9498910841787455
