base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size
full_pipeline,SPY,-0.2679915187782927,-1.077706697178277,0.407771760913544,0.45,-0.06705880448686535,-0.17997764880496078,0.03301130621403015,0.175,-0.03491619485832609,-1.1542888142982608,0.7141928111249568,0.58,400,20
full_pipeline,factor_benchmark,-0.32966441673587227,-0.7528962481194175,0.10074734617985494,0.135,-0.0783425463666785,-0.13868263291098024,-0.01372986991041751,0.005,-0.3571254994627434,-0.8974250965143095,0.16833773418767597,0.205,400,20
full_pipeline,vol_target,-0.3373159645239709,-0.7750207765181987,0.09974023830569638,0.16,-0.05545172470025003,-0.10670446235843274,0.0007004971222759272,0.06,-0.24482635780573392,-1.0288172823179365,0.2569359432199968,0.325,400,20
full_pipeline,dd_delever,-0.15188503475366294,-0.6280804880663419,0.2804316116758113,0.455,-0.04193066180842535,-0.10887650407189756,0.022026581374027892,0.16,-0.16118938998819365,-0.7041285822084945,0.4527970385703735,0.685,400,20
full_pipeline,e2e_rl,0.00432730155761657,-0.9632772525710103,0.9433690757709129,0.975,0.00428563883013805,-0.08419485953636467,0.09922204980989296,0.96,0.264576236153655,-1.4144473458451197,1.0795703859697134,0.935,400,20
