label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,avg_turnover,avg_transaction_cost,suite,window_id,param_name,param_value,fold,train_end,test_end
factor_only_tf0.40,0.15580184115647125,0.1805211390330935,0.6691838701642965,-0.16748708154522096,0.9302319344079437,-1.6429996193555851,0.02177930945698287,2.3752317521755852e-05,ablation,full_sample,train_frac,0.4,,,
factor_only_tf0.50,0.15257838243738037,0.15873286490621719,0.7407311340316126,-0.14248994651195537,1.0708009615020027,-1.4378557673241057,0.019241187637989467,2.0901962960481494e-05,ablation,full_sample,train_frac,0.5,,,
factor_only_tf0.60,0.14451341867851,0.15097493065454032,0.7253748085856033,-0.15047493642597407,0.960381924771797,-1.3335836811568131,0.020978439183351936,2.2752271889633652e-05,ablation,full_sample,train_frac,0.6,,,
alpha_stack_fixed_weights_tf0.40,0.09125679967885836,0.12901025838985844,0.4360645116158888,-0.14666918780321972,0.6221947146754973,-1.322111855385289,0.06119251228455391,6.69053452638608e-05,ablation,full_sample,train_frac,0.4,,,
alpha_stack_fixed_weights_tf0.50,0.10413149407951054,0.11903576003052284,0.5807623545576597,-0.10501638742025929,0.9915736650419696,-1.1026508304979594,0.05047067308383669,5.496847890881981e-05,ablation,full_sample,train_frac,0.5,,,
alpha_stack_fixed_weights_tf0.60,0.11319012397634995,0.11258334367917605,0.6945087477067434,-0.10873475970195015,1.0409745133650647,-0.9780816930428884,0.04288706806435001,4.645742228021654e-05,ablation,full_sample,train_frac,0.6,,,
alpha_stack_no_rl_tf0.40,0.09597213417560085,0.12877180868058816,0.473489734014234,-0.14673327086988067,0.6540583949779362,-1.3346059370741292,0.06272580653704583,6.859157036207001e-05,ablation,full_sample,train_frac,0.4,,,
alpha_stack_no_rl_tf0.50,0.10269077430935297,0.11971504443085398,0.5654324314612442,-0.1110381984659155,0.9248237676752064,-1.1203699736613426,0.05162170767082358,5.622873275413997e-05,ablation,full_sample,train_frac,0.5,,,
alpha_stack_no_rl_tf0.60,0.11434561315881792,0.11292343171994697,0.7026496177436485,-0.10325587191557722,1.1074004796386103,-0.9995415560671693,0.04488098633589325,4.863086075389752e-05,ablation,full_sample,train_frac,0.6,,,
portfolio_rl_fixed_weights_tf0.40,0.075823313785367,0.11432637769807337,0.35707691467675884,-0.13354303116717078,0.5677818411402693,-1.1547739875171852,0.1025923260117973,0.00011197917773476277,ablation,full_sample,train_frac,0.4,,,
portfolio_rl_fixed_weights_tf0.50,0.08858186394818782,0.10613527413308117,0.5048449663638951,-0.09648046657309824,0.9181325289274868,-0.9697682667075006,0.0976267779576873,0.00010621281438641556,ablation,full_sample,train_frac,0.5,,,
portfolio_rl_fixed_weights_tf0.60,0.08154872486054408,0.10130669428390601,0.45948316243803616,-0.09768692038771568,0.8347966768623022,-0.8992161677823642,0.09330100891776935,0.00010102065733644091,ablation,full_sample,train_frac,0.6,,,
full_pipeline_tf0.40,0.07600262716085282,0.11444240164749153,0.3582817468680245,-0.1247064875409647,0.609452022625259,-1.1237194775155364,0.10928572226654758,0.00011921291373501656,ablation,full_sample,train_frac,0.4,,,
full_pipeline_tf0.60,0.09276313907464973,0.09970483782236761,0.5793413292958384,-0.09561033303816198,0.9702207536021933,-0.9187737420766126,0.0921687267951476,9.981447590395164e-05,ablation,full_sample,train_frac,0.6,,,
full_pipeline_fixed_weights_tf0.40,0.08108668194469415,0.11666280823971989,0.39504173343382454,-0.12896701032163913,0.6287396711381473,-1.185110400187887,0.0993653287755956,0.00010844024929613035,ablation,full_sample,train_frac,0.4,,,
full_pipeline_fixed_weights_tf0.50,0.08282996650216955,0.10695381646843442,0.4472020130694972,-0.10430198971979787,0.794135939144869,-0.9721374400591712,0.09627739529651427,0.00010472784498349729,ablation,full_sample,train_frac,0.5,,,
full_pipeline_fixed_weights_tf0.60,0.0920837798060572,0.09867117901339238,0.5785253058854836,-0.09828519757626661,0.9369037526283163,-0.9016582268359054,0.08501301877486385,9.214785518907415e-05,ablation,full_sample,train_frac,0.6,,,
factor_only_tf0.40,0.09706865580681534,0.12905265359799373,0.4809560227300901,-0.1467215662681404,0.6615840578853783,-1.3264206952435524,0.06268222826110802,6.854454962813757e-05,control_comparison,full_sample,train_frac,0.4,,,
factor_only_tf0.50,0.10338853822673195,0.11967782195286757,0.5714386458276187,-0.1107351700680294,0.9336557556795946,-1.1155786092201805,0.05215555032726309,5.6804633438070904e-05,control_comparison,full_sample,train_frac,0.5,,,
factor_only_tf0.60,0.1133096727322508,0.11315973061261796,0.6920276797057171,-0.10134221350700769,1.1180894676582223,-1.0162380161881226,0.04498332674843366,4.8749138273184776e-05,control_comparison,full_sample,train_frac,0.6,,,
A1_fixed_tf0.40,0.09479495417208844,0.12210041068215575,0.489719477115832,-0.13590030110433277,0.6975330181497001,-1.2501839988088088,0.058709002047661,6.41985302513822e-05,control_comparison,full_sample,train_frac,0.4,,,
A1_fixed_tf0.50,0.09767053720387016,0.11358635338772755,0.5517434957393962,-0.10711773508066379,0.9118053888300252,-1.0620088498473408,0.04858313758331546,5.2910260779752806e-05,control_comparison,full_sample,train_frac,0.5,,,
A1_fixed_tf0.60,0.11005842765966355,0.10681631202093095,0.7026868763086193,-0.09660052624734651,1.1393148727234599,-0.950543674875397,0.04127039303314358,4.471527503447435e-05,control_comparison,full_sample,train_frac,0.6,,,
A2_vol_target_tf0.40,0.07887514391005479,0.10218180761530277,0.4293830833508685,-0.11104490001261999,0.7102994986541105,-0.9526748093748119,0.053178768973879444,5.788659907840296e-05,control_comparison,full_sample,train_frac,0.4,,,
A2_vol_target_tf0.50,0.0855632692031132,0.10032724156931423,0.5039833984506192,-0.09975898005039352,0.857699833968755,-0.9158368631418913,0.048684288728186725,5.283339008151346e-05,control_comparison,full_sample,train_frac,0.5,,,
A2_vol_target_tf0.60,0.09922920653981783,0.10230504892964781,0.627820434412597,-0.10037285606508414,0.9886058895187397,-0.9212810261741742,0.04446437573801563,4.808884345969839e-05,control_comparison,full_sample,train_frac,0.6,,,
A3_dd_delever_tf0.40,0.07490339778663496,0.11783970733768491,0.3386243508399348,-0.14833013268438813,0.504977588715814,-1.1302221980930995,0.05738729475054171,6.264566434707615e-05,control_comparison,full_sample,train_frac,0.4,,,
A3_dd_delever_tf0.50,0.09018486366459819,0.11269827181086087,0.4896690772731901,-0.10371323677196034,0.8695597377535803,-1.0850173722539695,0.050907389900192015,5.534814781662026e-05,control_comparison,full_sample,train_frac,0.5,,,
A3_dd_delever_tf0.60,0.10430180885669071,0.10916640171964319,0.6348272125557158,-0.09992934071709134,1.0437554943389775,-1.0097288107190558,0.043691166312046434,4.727571364827854e-05,control_comparison,full_sample,train_frac,0.6,,,
A4_regime_rules_tf0.40,0.0855028740258438,0.11398911704294985,0.44304992358450884,-0.11894508845856773,0.7188431901263012,-1.1387689427046894,0.0576197774380094,6.301303100796647e-05,control_comparison,full_sample,train_frac,0.4,,,
A4_regime_rules_tf0.50,0.09673101815405118,0.10896504474602646,0.5665212420434476,-0.09150163874941333,1.0571505483902155,-0.9964864319723694,0.047895394583291694,5.2144376142120395e-05,control_comparison,full_sample,train_frac,0.5,,,
A4_regime_rules_tf0.60,0.10077171985220222,0.10483686396458436,0.6273720053348882,-0.10221932628097609,0.985838135117658,-0.9039164453232912,0.04210954358650999,4.5628913510885545e-05,control_comparison,full_sample,train_frac,0.6,,,
A5_ensemble_mean_tf0.40,0.08126196834551376,0.11434892384886115,0.4045684274298505,-0.13084316951462188,0.6210638464073142,-1.1380101068938306,0.05657562306313058,6.177440148524398e-05,control_comparison,full_sample,train_frac,0.4,,,
A5_ensemble_mean_tf0.50,0.09045603451499443,0.10977746966401866,0.5051676781496655,-0.09609662276549061,0.9413028522626676,-1.0175871862761403,0.04890081189570539,5.3158782669603276e-05,control_comparison,full_sample,train_frac,0.5,,,
A5_ensemble_mean_tf0.60,0.1026393737181578,0.10616929810851175,0.6370897100414942,-0.09808123939844032,1.04647294307193,-0.933221187581717,0.04304855333822639,4.659830605055415e-05,control_comparison,full_sample,train_frac,0.6,,,
B1_linucb_tf0.40,0.09587150341482878,0.11930882590045169,0.5102011343536906,-0.13177975398095404,0.727513090922556,-1.2502243126388697,0.06373659522731757,6.972811852108599e-05,control_comparison,full_sample,train_frac,0.4,,,
B1_linucb_tf0.50,0.09888699048349184,0.10952513589406186,0.5833088827408319,-0.09906613670559206,0.9981915495044676,-1.01481600840764,0.061312364406963714,6.677230245050562e-05,control_comparison,full_sample,train_frac,0.5,,,
B1_linucb_tf0.60,0.10300117172189972,0.1042295945470824,0.6524170557625244,-0.09196945843878959,1.1199496253525951,-0.9625433482950404,0.05560801646467187,6.0255781582989455e-05,control_comparison,full_sample,train_frac,0.6,,,
B2_thompson_tf0.40,0.07484962070413459,0.11540383558649835,0.34530583016201316,-0.14489625128175443,0.5165738580279006,-1.1490554607827352,0.08342235654475288,9.102371566045696e-05,control_comparison,full_sample,train_frac,0.4,,,
B2_thompson_tf0.50,0.09129983441482428,0.10748877726077861,0.5237740219194698,-0.10764194076181631,0.8481807861030605,-1.0035453262618437,0.08451182954802672,9.206137720140687e-05,control_comparison,full_sample,train_frac,0.5,,,
B2_thompson_tf0.60,0.08892057500396723,0.1042018571915728,0.5174626564496725,-0.09912382306575243,0.8970655416945287,-0.9395947130688194,0.07630719209012922,8.272312737090622e-05,control_comparison,full_sample,train_frac,0.6,,,
B3_epsilon_greedy_tf0.40,0.08846958220552346,0.1144997700459301,0.46698414777805547,-0.13409079614037,0.6597736619832909,-1.1718513694650574,0.07260113656388027,7.934839432938318e-05,control_comparison,full_sample,train_frac,0.4,,,
B3_epsilon_greedy_tf0.50,0.09348914101540572,0.10851542331527808,0.538993756265736,-0.10240839254215353,0.9129049833281361,-1.0203526149015347,0.06052530813213477,6.592990270638027e-05,control_comparison,full_sample,train_frac,0.5,,,
B3_epsilon_greedy_tf0.60,0.10320463050809364,0.10394909748710908,0.6561348351793383,-0.09393770904977691,1.098649526005696,-0.961082968392155,0.05638101491624492,6.108459537781224e-05,control_comparison,full_sample,train_frac,0.6,,,
C_supervised_tf0.40,0.0856579709044819,0.11206592486671246,0.45203719546651555,-0.13954310059601155,0.6138459329064878,-1.1112385282559492,0.049091090663375345,5.37808303793634e-05,control_comparison,full_sample,train_frac,0.4,,,
C_supervised_tf0.50,0.09300741965661595,0.10102775396428705,0.5741730528364595,-0.10711773508066379,0.8682727552430999,-0.9845191670141991,0.04184596635645737,4.562758025850602e-05,control_comparison,full_sample,train_frac,0.5,,,
C_supervised_tf0.60,0.1139872108222991,0.10793373596331912,0.7318120029776656,-0.10330891826404182,1.1033626302943074,-0.9418837966531676,0.043436631440237045,4.707922975631392e-05,control_comparison,full_sample,train_frac,0.6,,,
D_cvar_robust_tf0.40,0.12542046925104075,0.16518341977028067,0.5473943081142449,-0.15432137763220385,0.8127225342864138,-1.561852334300003,0.014789418898177281,1.614885070948177e-05,control_comparison,full_sample,train_frac,0.4,,,
D_cvar_robust_tf0.50,0.1440660445868804,0.15009003024324816,0.726670766495359,-0.1396032438634678,1.0319676698064446,-1.410308214392661,0.014165542426693552,1.5396025001294295e-05,control_comparison,full_sample,train_frac,0.5,,,
D_cvar_robust_tf0.60,0.14999926690407067,0.137959406347261,0.8335731619406335,-0.14030192430979294,1.069117597287473,-1.2496126860852679,0.014155920690060553,1.5347128490754153e-05,control_comparison,full_sample,train_frac,0.6,,,
D_plus_convexity_tf0.40,0.1169655319213382,0.15994504605829538,0.5124605532756455,-0.1393196537606732,0.839547905615567,-1.536805238448033,0.01551889941755166,1.694695514751743e-05,control_comparison,full_sample,train_frac,0.4,,,
D_plus_convexity_tf0.50,0.13165301013758549,0.14672557027470318,0.6587331940117693,-0.14046850227365887,0.9372421477711735,-1.3953282897445902,0.013889621186371756,1.508241309428628e-05,control_comparison,full_sample,train_frac,0.5,,,
D_plus_convexity_tf0.60,0.13789314696679145,0.13648281836413445,0.7538907875815252,-0.1417746031729663,0.9726222761656247,-1.2410604255671496,0.014751878907285665,1.6005367201437277e-05,control_comparison,full_sample,train_frac,0.6,,,
H_mpc_tf0.40,0.055045402798898205,0.04376430809509739,0.45803073534336064,-0.04186232996055286,1.314914618981352,-0.41520354634936457,0.002806266138801881,3.059706556605997e-06,control_comparison,full_sample,train_frac,0.4,,,
H_mpc_tf0.50,0.06467472762638772,0.03990768602081748,0.7435840849070358,-0.04503684580154577,1.436040027114147,-0.373302792424398,0.002817999931043994,3.078120164576854e-06,control_comparison,full_sample,train_frac,0.5,,,
H_mpc_tf0.60,0.061880918291788475,0.036663655309105356,0.7331759676824412,-0.030143142013644413,2.0529013775260743,-0.31966190694692254,0.0034272768532521546,3.6981787727602575e-06,control_comparison,full_sample,train_frac,0.6,,,
E_council_tf0.40,0.1034814807154783,0.13672099014012287,0.5008848724430985,-0.13050501053646066,0.7929310327687165,-1.3467502742800777,0.037003436292157056,4.0406803535168185e-05,control_comparison,full_sample,train_frac,0.4,,,
E_council_tf0.50,0.12032859131396142,0.1253237848005101,0.6808650460176946,-0.12032418601958898,1.0000365287657667,-1.1757094066116156,0.03347133371485386,3.639444343762862e-05,control_comparison,full_sample,train_frac,0.5,,,
E_council_tf0.60,0.12543099488417622,0.11896603793924951,0.7601412037353311,-0.12059523039617585,1.0400990492834883,-1.0401291320755637,0.0316765792510132,3.434321486326436e-05,control_comparison,full_sample,train_frac,0.6,,,
E_plus_convexity_tf0.40,0.07676837342822837,0.13403965804147883,0.3116120327551324,-0.14471166730089596,0.5304919054224319,-1.3095149954426086,0.03786301989161033,4.134033121337968e-05,control_comparison,full_sample,train_frac,0.4,,,
E_plus_convexity_tf0.50,0.10295784633390823,0.12429723440452072,0.5467365480182487,-0.12050700024594355,0.8543722570477924,-1.1709182953353179,0.034642232728009974,3.766360256910534e-05,control_comparison,full_sample,train_frac,0.5,,,
E_plus_convexity_tf0.60,0.10404822612649842,0.11769134557078889,0.5866890205455009,-0.12756125527785483,0.8156725781910351,-1.03808139125573,0.031874771206453344,3.455664410729925e-05,control_comparison,full_sample,train_frac,0.6,,,
G_mlp_meta_tf0.40,0.1033895711942526,0.13357374458859544,0.5119985689171584,-0.13881805821461035,0.744784684904375,-1.3201681483757732,0.04287150596258801,4.6852070101790785e-05,control_comparison,full_sample,train_frac,0.4,,,
G_mlp_meta_tf0.50,0.11176409423304547,0.1281685103060044,0.5989309547287427,-0.11474335410515106,0.9740353623467465,-1.1882748104850138,0.03669537822937055,3.983549942612221e-05,control_comparison,full_sample,train_frac,0.5,,,
G_mlp_meta_tf0.60,0.11944680690536649,0.11770759465537074,0.7174286415275665,-0.11556175378259059,1.0336187593163162,-0.996722700868104,0.03657853105612021,3.962766527910808e-05,control_comparison,full_sample,train_frac,0.6,,,
G_plus_convexity_tf0.40,0.08345178110667031,0.13117854288432826,0.3693574905449257,-0.15164795521851784,0.5502993791339045,-1.2657945906954973,0.04257099906694669,4.6519305168456646e-05,control_comparison,full_sample,train_frac,0.4,,,
G_plus_convexity_tf0.50,0.10311289964033075,0.1243322060338872,0.5478298530588913,-0.11226997150180239,0.9184369522558029,-1.1365657409835277,0.039016427280567624,4.2378287290390675e-05,control_comparison,full_sample,train_frac,0.5,,,
G_plus_convexity_tf0.60,0.10417913164336058,0.11597700824800018,0.596490000246695,-0.12532725344415024,0.83125673361396,-1.01261859761217,0.04055809543438751,4.393324308031327e-05,control_comparison,full_sample,train_frac,0.6,,,
F_cmdp_lagrangian_tf0.40,0.08668004127696571,0.1198281015850405,0.4312847844580196,-0.1326802885989223,0.6533000165984686,-1.1892914477043828,0.07788879291035807,8.508816637634064e-05,control_comparison,full_sample,train_frac,0.4,,,
F_cmdp_lagrangian_tf0.50,0.08474576718577367,0.10628575066046281,0.4680379279091764,-0.10625467435048319,0.7975720572115022,-1.0353185884152734,0.06603090421017925,7.187436381518621e-05,control_comparison,full_sample,train_frac,0.5,,,
