label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
portfolio_rl_fixed_weights_tf0.40,neutral,1.4646153846153847,0.9082461538461538,0.10132307692307692,0.0,0.0,none,0.0,0.0,0.0,0.09175385500006271,0.11453727341186211,0.00012501469703659756,0.39224466663335605,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09006300095306005,0.11294321341335894
portfolio_rl_fixed_weights_tf0.40,bear,1.2669683257918551,0.9018552036199097,0.09330316742081449,0.0,0.0,none,0.0,0.0,0.0,0.09814480519212682,0.10950969914703866,0.00012056049225286856,0.3581968631289593,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.18498853897343873,0.14133660140028656
portfolio_rl_fixed_weights_tf0.50,bull,1.547069271758437,0.9130550621669626,0.10452930728241563,0.0,0.0,none,0.0,0.0,0.0,0.08694494673839794,0.08602522554702247,9.33080745083599e-05,0.3751385404902466,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.07669101440188555,0.10535693947421226
portfolio_rl_fixed_weights_tf0.50,neutral,1.3745454545454545,0.9038545454545455,0.09810909090909092,0.0,0.0,none,0.0,0.0,0.0,0.09614546335883613,0.11160869598892778,0.00012159644292133522,0.38968042383733786,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.2011488704123271,0.10544373962644313
portfolio_rl_fixed_weights_tf0.50,bear,1.15,0.8871249999999999,0.090625,0.0,0.0,none,0.0,0.0,0.0,0.11287500868083296,0.131209859815352,0.00014414869818944607,0.35440748704753267,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.21468536709018884,0.11128497409277328
portfolio_rl_fixed_weights_tf0.60,bull,1.606936416184971,0.9124855491329481,0.10720616570327553,0.0,0.0,none,0.0,0.0,0.0,0.08751445976714753,0.0864258013201362,9.364999005788931e-05,0.37833111829068833,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.04202649054554551,0.10318014120160303
portfolio_rl_fixed_weights_tf0.60,neutral,1.2451612903225806,0.8932903225806452,0.09393548387096774,0.0,0.0,none,0.0,0.0,0.0,0.10703226680176037,0.11436762525228242,0.00012359820356914021,0.41276456898784664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0175992766331503,0.08080447584577408
portfolio_rl_fixed_weights_tf0.60,bear,1.0166666666666666,0.8803333333333334,0.08566666666666668,0.0,0.0,none,0.0,0.0,0.0,0.11966667530364034,0.0983494624398041,0.00010645160152810581,0.3796865046825885,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.5886187929393817,0.12441367682378651
full_pipeline_tf0.40,bull,1.6018018018018019,0.9092792792792793,0.10742342342342343,0.0,0.0,none,0.0,0.0,0.0,0.0907207295794285,0.10219905393110636,0.00011104552230960098,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.00926307636514445,0.10244656961452395
full_pipeline_tf0.40,neutral,1.32,0.8957538461538461,0.0968,0.0,0.0,none,0.0,0.0,0.0,0.10424616258147838,0.12433692436367563,0.00013558963905310149,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09726105986235033,0.11238327330711244
full_pipeline_tf0.40,bear,1.239819004524887,0.8963800904977378,0.09298642533936652,0.0,0.0,none,0.0,0.0,0.0,0.1036199182609261,0.10494843830547632,0.00011564036401885385,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.21234407541257888,0.1421160461772146
full_pipeline_tf0.60,bull,1.4797687861271676,0.9045279383429674,0.10263969171483622,0.0,0.0,none,0.0,0.0,0.0,0.09547207048741979,0.08780847631049135,9.516081778855755e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.05094020256642449,0.1001697488468744
full_pipeline_tf0.60,neutral,1.1225806451612903,0.887483870967742,0.08916129032258065,0.0,0.0,none,0.0,0.0,0.0,0.11251613772618999,0.10053349983466409,0.00010869303783820526,0.6051293958123892,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.03335407845342839,0.08027378187084022
full_pipeline_tf0.60,bear,1.1166666666666667,0.894,0.08766666666666668,0.0,0.0,none,0.0,0.0,0.0,0.10600000876950864,0.10827589646867317,0.00011713233360528871,0.5810120469570634,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.6080049464756196,0.13046815736549583
full_pipeline_fixed_weights_tf0.40,bull,1.618018018018018,0.9159819819819821,0.10704504504504504,0.0,0.0,none,0.0,0.0,0.0,0.08401802694403929,0.0893046863614014,9.70153913544538e-05,0.3728880307379682,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.030755560338964583,0.10328441073464315
full_pipeline_fixed_weights_tf0.40,neutral,1.4123076923076923,0.9041538461538462,0.09969230769230769,0.0,0.0,none,0.0,0.0,0.0,0.09584616265395345,0.11425161195118508,0.00012460118351535952,0.39224466663335605,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1015952399303828,0.11536201516762211
full_pipeline_fixed_weights_tf0.40,bear,1.3257918552036199,0.901131221719457,0.09588235294117647,0.0,0.0,none,0.0,0.0,0.0,0.09886878707893322,0.10273915007790868,0.00011336555489061452,0.3581968631289593,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.17732419844166733,0.1462164364651574
full_pipeline_fixed_weights_tf0.50,bull,1.536412078152753,0.9078685612788633,0.10444049733570161,0.0,0.0,none,0.0,0.0,0.0,0.09213144757572105,0.08744924246135677,9.483676468198006e-05,0.3751385404902466,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0648296904508901,0.10651871319707505
full_pipeline_fixed_weights_tf0.50,neutral,1.298181818181818,0.8964727272727274,0.09559999999999999,0.0,0.0,none,0.0,0.0,0.0,0.10352728147408578,0.10668221404201475,0.00011624664126063136,0.38968042383733786,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.20771691991440122,0.10462991857375938
full_pipeline_fixed_weights_tf0.50,bear,1.225,0.89225,0.092875,0.0,0.0,none,0.0,0.0,0.0,0.10775000872402489,0.12263895643627735,0.00013474046040277648,0.35440748704753267,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.21979199314149767,0.11488159441171103
full_pipeline_fixed_weights_tf0.60,bull,1.4238921001926783,0.9029287090558769,0.10011560693641619,0.0,0.0,none,0.0,0.0,0.0,0.09707129976571065,0.08375501450004166,9.083777509824919e-05,0.37833111829068833,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.048887922632994026,0.09904268159230926
full_pipeline_fixed_weights_tf0.60,neutral,1.0774193548387097,0.8906451612903227,0.08619354838709677,0.0,0.0,none,0.0,0.0,0.0,0.10935484744003911,0.08848606820681264,9.565409631106012e-05,0.41276456898784664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.04046146979856926,0.08117579682190344
full_pipeline_fixed_weights_tf0.60,bear,1.0166666666666666,0.8878333333333333,0.0835,0.0,0.0,none,0.0,0.0,0.0,0.11216667538227944,0.08692271138620808,9.442225840957977e-05,0.3796865046825885,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.599085578539064,0.1269554123378475
factor_only_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999838004957e-09,0.05057224182024061,5.513377422777715e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.035989779063057704,0.11520347003342458
factor_only_tf0.40,neutral,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999844600128e-09,0.07718201251697736,8.426903966107053e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.11509245557125579,0.12832352508409464
factor_only_tf0.40,bear,0.0,0.9999999900000004,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999832221894e-09,0.0717709730191346,7.909894368468422e-05,0.5577214937431316,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.22395119729705207,0.15913118955130098
factor_only_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999982879458e-09,0.04011238223580806,4.353127235288993e-05,0.5726644374719745,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09638896369695522,0.1179501229913237
factor_only_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999855252059e-09,0.06754350948647246,7.369738018798748e-05,0.585077826056334,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.22524254132116603,0.11964696293089505
factor_only_tf0.50,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999817100758e-09,0.08401323616109566,9.214709512219367e-05,0.5545433966548486,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.26622509165708125,0.1284187575420668
factor_only_tf0.60,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999842107515e-09,0.03761652369072385,4.0808015308821044e-05,0.5757690430993415,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06348681454324946,0.11338864801287614
factor_only_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999840379627e-09,0.06098205570835348,6.58931910991993e-05,0.6051293958123892,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.05415287475256141,0.09236247027309652
factor_only_tf0.60,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999835604474e-09,0.06737612338449735,7.315104878106018e-05,0.5810120469570634,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.6970991241813099,0.14807080762004263
