label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,avg_turnover,avg_transaction_cost,suite,window_id,param_name,param_value
factor_only_tf0.40,0.2375850274426093,0.11852402632093008,1.7092315932783917,-0.13967808620197367,1.7009469194014701,-1.05890835663777,0.049982060120501846,0.0001805710895194801,ablation,full_sample,train_frac,0.4
factor_only_tf0.50,0.2313226478590121,0.12125056985695214,1.6191481153379041,-0.142563839011575,1.6225898042373326,-1.0842696682573993,0.05148112761466509,0.00018720757629620634,ablation,full_sample,train_frac,0.5
factor_only_tf0.60,0.2064022457860167,0.12436050913792995,1.3782689793688634,-0.13955679496114776,1.4789837431680852,-1.1241379450697224,0.05288771149427628,0.00019525741558665353,ablation,full_sample,train_frac,0.6
alpha_stack_no_rl_tf0.40,0.2073848802112728,0.1260535116818962,1.367553067230415,-0.1458079330512717,1.4223153819428636,-1.093753987091326,0.0941282247412976,0.00033437984855329717,ablation,full_sample,train_frac,0.4
alpha_stack_no_rl_tf0.50,0.19623674140666847,0.130079553411835,1.2395240049829281,-0.14563882948335702,1.3474203866413916,-1.1803038916607973,0.09382636307255356,0.0003364777957140153,ablation,full_sample,train_frac,0.5
alpha_stack_no_rl_tf0.60,0.15748364049805572,0.1332365321318203,0.9192946509890209,-0.14618126781687507,1.0773174434508597,-1.227700147540755,0.09483976169952657,0.00034419056711370183,ablation,full_sample,train_frac,0.6
alpha_plus_portfolio_rl_tf0.40,0.17126414333192305,0.11866660785688841,1.1482938149990691,-0.15018429359114221,1.1403598061630198,-1.0582793497693415,0.11254897830008304,0.0003979791204603143,ablation,full_sample,train_frac,0.4
alpha_plus_portfolio_rl_tf0.50,0.16763389918836155,0.12348350062463367,1.0741021089977212,-0.14595219698274745,1.1485533699958168,-1.0974578920531064,0.10802517377669198,0.0003849423117089889,ablation,full_sample,train_frac,0.5
alpha_plus_portfolio_rl_tf0.60,0.12453465489124033,0.11757949054385494,0.7614818440043091,-0.13827303912663025,0.9006430080036182,-1.112364519693546,0.10401187954245494,0.0003748447973300713,ablation,full_sample,train_frac,0.6
alpha_plus_hedge_rl_tf0.40,0.21932389339902622,0.1167842840506575,1.5783277614288793,-0.1238882041207403,1.7703370329099684,-1.0429671690395306,0.0943891327042105,0.00033489257779307244,ablation,full_sample,train_frac,0.4
alpha_plus_hedge_rl_tf0.50,0.20743926969872017,0.1188015991645069,1.451489343548707,-0.11798503359869451,1.7581827608954281,-1.026575930677923,0.09406974103071061,0.0003374323916273908,ablation,full_sample,train_frac,0.5
alpha_plus_hedge_rl_tf0.60,0.16586559717686442,0.12085409718725948,1.0828394683690183,-0.11812868016291042,1.4041093399759228,-1.1094606012963482,0.09564913129882706,0.0003475686900675953,ablation,full_sample,train_frac,0.6
full_pipeline_tf0.40,0.18654772954493162,0.10936470272030228,1.385709574645996,-0.11241345817528492,1.6594784643958327,-0.9750101447892352,0.10552118684012542,0.0003727912974012715,ablation,full_sample,train_frac,0.4
full_pipeline_tf0.50,0.17050260269732073,0.11216851233939347,1.208026992522236,-0.11271436671488375,1.512696141048759,-1.002594221324114,0.10767453745883437,0.0003813932038111953,ablation,full_sample,train_frac,0.5
full_pipeline_tf0.60,0.15233242880076864,0.11834653104201139,0.9914309938227704,-0.12192426178602891,1.2494019982182427,-1.0184125543875202,0.10924658225370155,0.0003950247016741153,ablation,full_sample,train_frac,0.6
full_pipeline_strict_timing,0.17552207368089973,0.11375118870294566,1.2353458713684817,-0.10829958414390539,1.6207085083594224,-0.9505964713860492,0.11529932142139716,0.00041167850551054104,timing_discipline,full_sample,strict_timing,1
full_pipeline,0.2556392839365732,0.11771678455533562,1.8743229015878138,-0.07176778264306827,3.562033532339165,-1.063429254967221,0.09475319591195601,0.00034523158241504397,rolling_window,0,window_start,2021-03-25
full_pipeline,0.191046755277854,0.10918290807196429,1.4292231608519657,-0.06456544591667528,2.9589623826773366,-1.0135686994209503,0.11773918230983224,0.00040293161863010546,rolling_window,1,window_start,2022-03-24
full_pipeline,0.19245474058030212,0.11338619196744781,1.3886587419649703,-0.10153018065581298,1.8955419992534346,-0.9817691552649292,0.10785972888955501,0.0003623887595844607,cost_sensitivity,full_sample,base_cost_bps,3.0
full_pipeline,0.15543289967109922,0.10815893877865157,1.113480678492599,-0.11657722186907153,1.3333040867333914,-0.959521526972332,0.10330829099511897,0.00036731118139989624,cost_sensitivity,full_sample,base_cost_bps,5.0
full_pipeline,0.1551567201550726,0.1112966651969842,1.0796074540628189,-0.11557281437816748,1.3425017601662315,-0.9992105090125154,0.1047459528571172,0.0004042151712420434,cost_sensitivity,full_sample,base_cost_bps,8.0
full_pipeline,0.15302093039840028,0.11275315304429055,1.0467194641097608,-0.11981296863164181,1.2771648960406405,-1.0507783303656562,0.1110026067306301,0.00047142577350651674,cost_sensitivity,full_sample,base_cost_bps,12.0
full_pipeline,0.15581113026705615,0.11147459216225665,1.0837547560045089,-0.12017093046993364,1.2965791035482457,-0.9685970388505769,0.12434233348235608,0.000436595215813257,rebalance_sensitivity,full_sample,rebalance_band,0.005
full_pipeline,0.16384480576267924,0.11018561779761296,1.1693431197700224,-0.12493256711866627,1.3114658285408816,-1.0100569874686416,0.10736516676969783,0.0003801589701109661,rebalance_sensitivity,full_sample,rebalance_band,0.015
full_pipeline,0.17763735587574817,0.11199495260620267,1.2736051029124449,-0.10784306339362884,1.6471837298939835,-0.9602812974113984,0.09342509176890146,0.0003355088594937315,rebalance_sensitivity,full_sample,rebalance_band,0.03
full_pipeline,0.1531781004465706,0.11305031738786761,1.0453583211759305,-0.11681099846451065,1.311332745604272,-1.0379158173313383,0.11560497781324831,0.0004120560300760789,hedge_sensitivity,full_sample,hedge_scale,0.75
full_pipeline,0.16797348777350476,0.11043860245955482,1.204048881202693,-0.11004820120960022,1.5263627270922087,-0.9565333934976784,0.11119167320537425,0.00039318990555282566,hedge_sensitivity,full_sample,hedge_scale,1.0
full_pipeline,0.1454530533798218,0.11121898569238843,0.9931132059968868,-0.12986146895363876,1.1200631207330491,-0.988172479484183,0.1048082897640209,0.00037317630108806054,hedge_sensitivity,full_sample,hedge_scale,1.25
full_pipeline,0.16531517830008988,0.10857333544499156,1.2002501881653242,-0.11985852989311917,1.37925239576175,-0.9775975652738604,0.11176125899582363,0.00039718507647776063,macro_lag_sensitivity,full_sample,macro_lag_days,1
full_pipeline,0.17022931765617239,0.10864112973176045,1.2447339745335817,-0.11124082338761596,1.5302772594575278,-0.968730833789053,0.10919341484211426,0.000386915922526777,macro_lag_sensitivity,full_sample,macro_lag_days,3
full_pipeline,0.16675809202979544,0.11249120275085482,1.1712745272078526,-0.10752623242644523,1.55085947640985,-1.0183600161456836,0.10803626406942952,0.00038447918965617674,macro_lag_sensitivity,full_sample,macro_lag_days,5
