label,regime,avg_action,avg_hedge_action,avg_hedge_ratio,avg_cash_weight,avg_turnover,avg_transaction_cost,ann_return,ann_vol
factor_only_tf0.40,bull,4.0,0.0,0.0,9.593418644047584e-09,0.048611874040526096,0.0001763562005849056,0.16832933743039422,0.10525914202541346
factor_only_tf0.40,neutral,4.0,0.0,0.0,9.543112583545473e-09,0.045947281825867166,0.00015895467578257576,0.24806950977184306,0.11255190257529299
factor_only_tf0.40,bear,4.0,0.0,0.0,9.575213364298905e-09,0.06389557188741199,0.00024346972600407178,0.4726538655215238,0.16681393624469837
factor_only_tf0.50,bull,4.0,0.0,0.0,9.595756679067975e-09,0.04863221571918103,0.0001767255148237006,0.15350810610174706,0.10477015728399731
factor_only_tf0.50,neutral,4.0,0.0,0.0,9.567012917289234e-09,0.051687908529878396,0.00017965742050472027,0.27842610147534025,0.12135947260338537
factor_only_tf0.50,bear,4.0,0.0,0.0,9.57508475337898e-09,0.06147680494353546,0.0002348832285369021,0.4499809016194426,0.1667421318111515
factor_only_tf0.60,bull,4.0,0.0,0.0,9.601603630227107e-09,0.04699609786539289,0.00017205544489543446,0.1487961730232281,0.10466741698135848
factor_only_tf0.60,neutral,4.0,0.0,0.0,9.584005770128743e-09,0.0596836329492756,0.0002082686692545047,0.30384231411571194,0.11923404743371789
factor_only_tf0.60,bear,4.0,0.0,0.0,9.585319471771813e-09,0.07337791579495165,0.0002889882229315363,0.37736604610333924,0.19249910659613023
alpha_stack_no_rl_tf0.40,bull,4.0,0.0,0.0,9.444213660430285e-09,0.09057660867170213,0.000321915756827207,0.14940411582485058,0.11368685223382187
alpha_stack_no_rl_tf0.40,neutral,4.0,0.0,0.0,9.422783840777359e-09,0.09113440208694222,0.0003100254367596933,0.19779066424417607,0.12104453540935804
alpha_stack_no_rl_tf0.40,bear,4.0,0.0,0.0,9.42934932072336e-09,0.11389415057608969,0.00043398325449522663,0.4442987677439008,0.17135326583787092
alpha_stack_no_rl_tf0.50,bull,4.0,0.0,0.0,9.439741812829579e-09,0.08865161018181676,0.00031575742596587526,0.12931460901702727,0.1142093347900808
alpha_stack_no_rl_tf0.50,neutral,4.0,0.0,0.0,9.419731365826133e-09,0.0929935829712454,0.0003178551456635477,0.20306744002761534,0.13180375091021307
alpha_stack_no_rl_tf0.50,bear,4.0,0.0,0.0,9.42612043765357e-09,0.11356704267956576,0.0004355695844008506,0.4284517174871525,0.1732681173615076
alpha_stack_no_rl_tf0.60,bull,4.0,0.0,0.0,9.441983528684184e-09,0.08537321243985597,0.00030603207119180985,0.1033343307828052,0.11481834252387771
alpha_stack_no_rl_tf0.60,neutral,4.0,0.0,0.0,9.396037512731301e-09,0.10690315427940571,0.00036575781472056746,0.21024347389687514,0.13101469880436
alpha_stack_no_rl_tf0.60,bear,4.0,0.0,0.0,9.420561199811252e-09,0.1266786926225509,0.0004981825345059716,0.3550042792208394,0.19742263966906357
alpha_plus_portfolio_rl_tf0.40,bull,2.293103448275862,0.0,0.0,0.05527094503573663,0.10414378205298203,0.00036865252989284886,0.12697822710833154,0.10689447329854716
alpha_plus_portfolio_rl_tf0.40,neutral,1.8235294117647058,0.0,0.0,0.08096639541820616,0.11321860349447506,0.00038414746733687535,0.15247063608201783,0.11282797379803056
alpha_plus_portfolio_rl_tf0.40,bear,1.8440366972477065,0.0,0.0,0.07917432079516766,0.14239428912630062,0.0005374151682930615,0.3772543883984881,0.16347194161255799
alpha_plus_portfolio_rl_tf0.50,bull,2.384816753926702,0.0,0.0,0.051963359882452965,0.10053841882963369,0.00035520079180429706,0.10622938824288901,0.1085842884704719
alpha_plus_portfolio_rl_tf0.50,neutral,2.446043165467626,0.0,0.0,0.051438858001852564,0.10839887655499285,0.00037002596592425487,0.1922164949898611,0.12483596026934299
alpha_plus_portfolio_rl_tf0.50,bear,1.9622641509433962,0.0,0.0,0.0750943485203347,0.13451569928228124,0.0005116841293285201,0.35668618564838095,0.16452777867500293
alpha_plus_portfolio_rl_tf0.60,bull,0.9886363636363636,0.0,0.0,0.11744319041053929,0.09263476497503807,0.0003309681838295865,0.07777818777411029,0.10049366150598762
alpha_plus_portfolio_rl_tf0.60,neutral,1.6575342465753424,0.0,0.0,0.09000000876791177,0.12605580708383649,0.00043101579173992826,0.16633320382768188,0.11680916024654234
alpha_plus_portfolio_rl_tf0.60,bear,1.0389610389610389,0.0,0.0,0.11038961904785312,0.135122757688038,0.0005221705812294362,0.2986513088246109,0.17567737816979845
alpha_plus_hedge_rl_tf0.40,bull,4.0,1.5024630541871922,0.0639408866995074,9.443827175935085e-09,0.09073223487766637,0.00032167314013155525,0.158870032295653,0.10646470339000332
alpha_plus_hedge_rl_tf0.40,neutral,4.0,1.6008403361344539,0.07113445378151259,9.421744045543318e-09,0.09124917509286354,0.0003104156438417211,0.2016273153406117,0.11499531556427207
alpha_plus_hedge_rl_tf0.40,bear,4.0,1.7798165137614679,0.0818348623853211,9.427525018546148e-09,0.11486629260400402,0.00043757699954534386,0.4831408951042756,0.15097113453075692
alpha_plus_hedge_rl_tf0.50,bull,4.0,1.3455497382198953,0.05759162303664921,9.440115845804039e-09,0.08866489428313214,0.00031637116404250096,0.14476724515276165,0.10618673023721635
alpha_plus_hedge_rl_tf0.50,neutral,4.0,1.7266187050359711,0.07942446043165467,9.421384210753405e-09,0.09289730097508003,0.0003183191278726551,0.1994334026751675,0.12499249082259911
alpha_plus_hedge_rl_tf0.50,bear,4.0,1.509433962264151,0.0681132075471698,9.429980653783546e-09,0.11508502994870716,0.0004383959067154682,0.4437933158574933,0.1486091547164208
alpha_plus_hedge_rl_tf0.60,bull,4.0,1.6022727272727273,0.07125000000000001,9.445562317464658e-09,0.08652174552212402,0.0003106974090190685,0.1110943338781904,0.10556189137569609
alpha_plus_hedge_rl_tf0.60,neutral,4.0,0.9315068493150684,0.04136986301369863,9.403282084492664e-09,0.10686810679422985,0.00036632603187378593,0.21327418023533634,0.12351633402008814
alpha_plus_hedge_rl_tf0.60,bear,4.0,1.1818181818181819,0.05,9.421529703587708e-09,0.12673815184733436,0.0004983401832783686,0.37130271559069294,0.1720078410042949
full_pipeline_tf0.40,bull,1.9310344827586208,1.5738916256157636,0.07086206896551725,0.06903941784202422,0.09893900205378572,0.0003494734293285496,0.13575985045501646,0.09886954422136134
full_pipeline_tf0.40,neutral,2.130252100840336,1.411764705882353,0.0592436974789916,0.062394966997518155,0.10441195391085793,0.00035484243015409937,0.17128407359313555,0.1064438571068934
full_pipeline_tf0.40,bear,1.981651376146789,1.4128440366972477,0.06036697247706422,0.06798166035266646,0.13246031033021338,0.0004988361124687215,0.4090489132791792,0.14574186043462842
full_pipeline_tf0.50,bull,2.162303664921466,1.3481675392670156,0.05416230366492147,0.06049739123430973,0.09899008599698637,0.0003493957041192392,0.11639292585346356,0.09996571460535823
full_pipeline_tf0.50,neutral,1.460431654676259,1.8920863309352518,0.08784172661870504,0.10100720294658942,0.11230915355959334,0.00038060701590906707,0.17170721081733523,0.10881325450619898
full_pipeline_tf0.50,bear,2.518867924528302,1.471698113207547,0.06566037735849056,0.05358491471718166,0.13289386595336689,0.0004977358924972618,0.363921999165919,0.15064050157264547
full_pipeline_tf0.60,bull,2.5568181818181817,1.3664772727272727,0.059971590909090905,0.04511364550402947,0.09658749830396274,0.0003448650837324765,0.10949289949585189,0.10307961404156642
full_pipeline_tf0.60,neutral,1.8356164383561644,0.9863013698630136,0.04575342465753424,0.0790411047567779,0.1354024759072749,0.00046603362538716976,0.17821256469398714,0.12025102474600405
full_pipeline_tf0.60,bear,1.1948051948051948,1.1948051948051948,0.052727272727272734,0.10584416452581004,0.14231953437834063,0.0005570056638092299,0.32363456380240163,0.16993095944798375
full_pipeline_strict_timing,bull,2.5105263157894737,1.55,0.06507894736842106,0.04768421965416215,0.10500581447898029,0.00037370669161115985,0.11196149640408475,0.0988180154095439
full_pipeline_strict_timing,neutral,2.5531914893617023,1.6028368794326242,0.07191489361702127,0.051418448780061396,0.12044106716753152,0.0004140372590948055,0.17524884369585378,0.12070698594708514
full_pipeline_strict_timing,bear,2.2452830188679247,1.6886792452830188,0.07726415094339623,0.0654717070855575,0.14536108074133566,0.0005446662887783111,0.40374419437034503,0.1479375781970444
full_pipeline,bull,1.8983050847457628,1.4067796610169492,0.0547457627118644,0.06898305984111329,0.12383335677103151,0.0004227323991739083,0.3285450254430806,0.10530196077331588
full_pipeline,neutral,1.6444444444444444,1.3666666666666667,0.055148148148148154,0.07885186076774663,0.08677969799215396,0.00032128661546360646,0.1919076835459614,0.12057067182205568
full_pipeline,bear,1.4081632653061225,1.3061224489795917,0.052244897959183675,0.09693878428904121,0.10367390912952938,0.00038385592707045497,0.5190289442749659,0.11425556794957487
full_pipeline,bull,1.1818181818181819,1.6363636363636365,0.07284848484848487,0.11684849342225644,0.1117876057814316,0.0003860487146308859,0.13101222547871083,0.10894946223858201
full_pipeline,neutral,1.5769230769230769,1.6692307692307693,0.07746153846153847,0.09300000876414204,0.11787926821537316,0.00040042492902425247,0.1348303381769308,0.10747499549830761
full_pipeline,bear,2.3855421686746987,1.5783132530120483,0.07120481927710845,0.049759045259370284,0.12935121796604646,0.0004404201584931429,0.3984423172053077,0.11127869079300604
