label,ann_return_point,ann_return_ci_low,ann_return_ci_high,sharpe_point,sharpe_ci_low,sharpe_ci_high,calmar_point,calmar_ci_low,calmar_ci_high,max_dd_point,max_dd_ci_low,max_dd_ci_high,bootstrap_samples,bootstrap_block_size
full_pipeline,0.08980540813996597,-0.0002053015870863571,0.17745197277240027,0.42284690052363466,-0.2724481066904253,1.193402943476404,0.4591295875569423,-0.0009361823039855047,1.1940946773119994,-0.19559925124087593,-0.40016972770219966,-0.11576360902704869,400,20
SPY,0.15254705476308628,0.02162598633339825,0.3061330942225294,0.5830006658366716,-0.05350675425039785,1.5208723654413474,0.45243013068579957,0.056494960475471596,1.8597181522518318,-0.33717261493515505,-0.5287144263232055,-0.14510013801035201,400,20
factor_benchmark,0.2657686058926952,0.10435119434859681,0.41328510303034915,1.0023907214924803,0.24224249513158377,1.68501801072261,0.7873410442963455,0.22248752425361193,2.324726353166931,-0.3375520683756615,-0.5240111687272854,-0.1579985130134321,400,20
vol_target,0.16275422082244154,0.035939122826569185,0.25112825845149644,0.8919659092398968,0.006074619760834614,1.6206848919418102,0.7892743976825245,0.0982354752295107,1.9395015436540712,-0.20620738922683687,-0.37916079484616794,-0.11885778520592191,400,20
dd_delever,0.19264261202226152,0.0573649554568751,0.30985358852250694,0.9227092859674757,0.12444727348232323,1.6417886267943667,0.9016420762249383,0.172241607331165,1.9912674133775716,-0.2136575123162076,-0.38970470165832516,-0.1428625205809569,400,20
e2e_rl,0.0871434184039418,0.02207760075222395,0.14917825212298036,0.5622747040695797,-0.13096909170085363,1.2769417577134832,0.5347899027522863,0.10259945160380234,1.6257649049679042,-0.16294887507703643,-0.24105130945889364,-0.07261537158581961,400,20
