base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size
full_pipeline,SPY,-0.160153765313037,-0.9077379977103138,0.5095901592446098,0.615,-0.0627416466231203,-0.1753766305255871,0.04610262517718272,0.25,0.006699456871142706,-0.8551736559453608,0.5167045887104542,0.785,400,20
full_pipeline,factor_benchmark,-0.5795438209688457,-1.1415907845241278,-0.15101903429035052,0.005,-0.17596319775272923,-0.26865702903732736,-0.08402615154090828,0.0,-0.3282114567394033,-1.5149379220013344,-0.02517919743442506,0.035,400,20
full_pipeline,vol_target,-0.46911900871626216,-0.9797923688804507,-0.028643112299064542,0.035,-0.07294881268247556,-0.13383649449265742,-0.009534539670451099,0.025,-0.3301448101255822,-1.291878494572365,0.17482047280933272,0.11,400,20
full_pipeline,dd_delever,-0.49986238544384104,-1.0402008279135453,0.062307377513600375,0.07,-0.10283720388229554,-0.17948498306724497,-0.02315291890351588,0.01,-0.44251248866799603,-1.3115579261405204,0.13801338865051221,0.145,400,20
full_pipeline,e2e_rl,-0.13942780354594503,-1.1873372536325786,0.8121487152027119,0.82,0.0026619897360241757,-0.10784343383302647,0.11369804224589604,0.925,-0.07566031519534405,-1.4493996510555656,0.7106474195164771,0.72,400,20
