component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
factor_only,0.20158981213737806,0.1981356838184607,0.8244899347832645,-0.2764344907128428,0.7382909372128051
alpha_stack_fixed_weights,0.09927362363519752,0.1342324953065174,0.4515514213471587,-0.19308162325770736,0.5091328575644863
alpha_stack_no_rl,0.09174982847908168,0.13398207337802928,0.3973479129738426,-0.19640841090347808,0.4601638239176362
portfolio_rl_fixed_weights,0.0786355986499883,0.12191397772663055,0.32947125560091933,-0.1727877218959388,0.45635171519719053
full_pipeline_fixed_weights,0.0748989489103649,0.12217312889696706,0.3001592231289694,-0.17681391667844884,0.42125110649617553
full_pipeline,0.07314934936409505,0.11996533911836466,0.2899983878633509,-0.17631240711961574,0.410420228651249
