label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,avg_turnover,avg_transaction_cost,suite,window_id,param_name,param_value
factor_only_tf0.40,0.22565017051802563,0.11845588266786539,1.6094612621136835,-0.13975382298501662,1.6146259869825408,-1.0511946469363298,0.04969220047285,0.00018018053736685558,ablation,full_sample,train_frac,0.4
factor_only_tf0.50,0.23373482881712987,0.12194852913370435,1.6296614147975734,-0.1404519204333127,1.6641624511391702,-1.0838521465468995,0.050806250295975124,0.00018551027541021406,ablation,full_sample,train_frac,0.5
factor_only_tf0.60,0.19198422094639297,0.12585017217155822,1.2473896997017693,-0.13888685278367097,1.3823065558434136,-1.1774355711569762,0.052503032064360716,0.0001938720844023538,ablation,full_sample,train_frac,0.6
factor_plus_pairs_tf0.40,0.22549523597850699,0.11846107548410278,1.6080828163951868,-0.1397489664639306,1.6135734349131898,-1.0511848767474927,0.049648503736128884,0.0001799973485814021,ablation,full_sample,train_frac,0.4
factor_plus_pairs_tf0.50,0.23016109567279866,0.1211223135337267,1.6112727198339765,-0.13852775770395717,1.6614798569819436,-1.0960155718071585,0.0509359414081149,0.00018651867384765583,ablation,full_sample,train_frac,0.5
factor_plus_pairs_tf0.60,0.1950322239538623,0.12623704800669505,1.2677119261237448,-0.1399164347393104,1.3939192374223242,-1.1964290308657388,0.051516506843681614,0.00019114293345057643,ablation,full_sample,train_frac,0.6
factor_plus_lstm_tf0.40,0.22492478530159554,0.11818776835073548,1.6069748323551059,-0.13981099054522592,1.6087774525927745,-1.0668348639092249,0.04974427331087344,0.0001806183618768903,ablation,full_sample,train_frac,0.4
factor_plus_lstm_tf0.50,0.2254642890175909,0.12160517112589643,1.5662514315110099,-0.14064827835167837,1.6030361382986602,-1.0938017964583033,0.05034623714949129,0.0001845373233419742,ablation,full_sample,train_frac,0.5
factor_plus_lstm_tf0.60,0.19848317106611268,0.12537718077912058,1.3039307233651785,-0.13713839810222703,1.4473200747536565,-1.146804745318075,0.05185273706050807,0.0001920772485627498,ablation,full_sample,train_frac,0.6
alpha_stack_no_rl_tf0.40,0.19426146442129777,0.1261871485092751,1.2621051642873125,-0.14403282131799594,1.3487304432168452,-1.0930231483601824,0.0929723442222877,0.0003302127739843342,ablation,full_sample,train_frac,0.4
alpha_stack_no_rl_tf0.50,0.1887280118827691,0.1306252030540139,1.1768632432331585,-0.14488176350518528,1.302634605560061,-1.2101817707741616,0.09223880288081723,0.00033146066047849145,ablation,full_sample,train_frac,0.5
alpha_stack_no_rl_tf0.60,0.1478314564234963,0.13427129957306136,0.8403243908342239,-0.14510391483246848,1.018797090390056,-1.2670628570641274,0.09219213882156645,0.0003355287978232746,ablation,full_sample,train_frac,0.6
alpha_plus_portfolio_rl_tf0.40,0.16680627496334868,0.11456048310704807,1.1505386489580292,-0.12722184601506595,1.3111448000223724,-1.040562570963795,0.10306951700072459,0.00036342758932734077,ablation,full_sample,train_frac,0.4
alpha_plus_portfolio_rl_tf0.50,0.15768873193628374,0.11760014063199759,1.0432701937619935,-0.14018185004107958,1.1248868569019834,-1.0669773044262536,0.10282253587989325,0.00036595730063771994,ablation,full_sample,train_frac,0.5
alpha_plus_portfolio_rl_tf0.60,0.11512247770834207,0.12338080250683346,0.6493917172405107,-0.1387707194591508,0.8295876094117532,-1.1347673681138084,0.10395499669529903,0.00037837596807112226,ablation,full_sample,train_frac,0.6
alpha_plus_hedge_rl_tf0.40,0.19666302037686384,0.11918325761408041,1.356423796839791,-0.12568525852255347,1.5647261026583545,-1.0756520222344121,0.09292576467676106,0.00033005466793050494,ablation,full_sample,train_frac,0.4
