base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size
full_pipeline,SPY,-0.04874454704260589,-0.7064208445840231,0.44865825362145273,0.83,-0.022530749607385075,-0.12366970222754244,0.08471677835949908,0.69,0.09023544495020491,-0.6610498463300987,0.548838224020053,0.89,400,20
full_pipeline,factor_benchmark,-0.4679815112370481,-0.8571698008073709,-0.14477216029943515,0.0,-0.13571646707094104,-0.21130947948294726,-0.06153704767481164,0.0,-0.244569751054043,-1.1695307719694994,-0.03974385439315256,0.01,400,20
full_pipeline,vol_target,-0.35746525623166925,-0.776753519243492,0.044770316647063886,0.075,-0.03270208040625269,-0.10352414322721812,0.03605121116661825,0.305,-0.24643523303569115,-0.9961755737339842,0.24213319461160274,0.165,400,20
full_pipeline,dd_delever,-0.38824743063369316,-0.8277248770708484,0.022567680830086735,0.07,-0.0625904339583003,-0.13863501801048833,0.007454159221563427,0.115,-0.35880882754310883,-1.0296009982343548,0.10655842800932419,0.18,400,20
full_pipeline,e2e_rl,-0.027947046501560546,-1.1165328313437253,0.9142458345853756,0.95,0.04340604426488004,-0.08434100724684404,0.18457288430683552,0.525,-0.015317817187546323,-1.4345196387532522,0.9809786476538116,0.885,400,20
