component_label,mean_return,mean_vol,mean_sharpe,mean_max_drawdown,mean_calmar
factor_only,0.18663130371691786,0.18348424467913294,0.8165393038732852,-0.2688460358827027,0.7183732794464325
factor_plus_pairs,0.18327636821028137,0.1831956752239898,0.7975870132923538,-0.27090727908904294,0.6927134886494776
factor_plus_lstm,0.18495898729403362,0.18321175808172308,0.8085795853940364,-0.2714722044282274,0.7014004178858965
alpha_stack_no_rl,0.17869099591533577,0.17503202385156816,0.8086608022097995,-0.24791499563765043,0.7340976038834152
alpha_plus_portfolio_rl,0.16418676825349812,0.16087360833629263,0.7855146514599444,-0.21680404116616384,0.7525614514097979
alpha_plus_hedge_rl,0.12409770686216708,0.1753743809852523,0.4927395248278042,-0.2602417549230982,0.47016317537700786
full_pipeline,0.10749153511029173,0.162803766036924,0.43027605990713563,-0.22303137041108692,0.47361813054708307
full_no_regime,0.1148409819216552,0.16239823712319915,0.4714065444917385,-0.22716220377507357,0.49958451988949815
full_no_uncertainty,0.10880664466906888,0.16185874815488802,0.4401331989027624,-0.23139418309445825,0.4599594978359482
full_no_vol,0.11274158659399647,0.16411784537023208,0.45517347024114496,-0.24519412317636835,0.45009451340817175
