label,ann_return,ann_vol,sharpe,max_drawdown,calmar,var5_pct,suite,fold,train_end,test_end
ts_cv_fold_0,0.04950121091587064,0.13028751716478157,0.11130160523754652,-0.11101122393969394,0.44591172585976135,-1.279835305078397,ts_cv,0,2017-02-16,2018-12-11
ts_cv_fold_1,0.33490220979625107,0.24681311103709885,1.215098324335732,-0.27608957255696703,1.2130200882430937,-1.6463381394370786,ts_cv,1,2018-12-11,2020-10-05
ts_cv_fold_2,0.06365642080279034,0.15803832530193293,0.18132575712115748,-0.1592059382473955,0.399836950211637,-1.6334626593116364,ts_cv,2,2020-10-05,2022-07-29
ts_cv_fold_3,0.0687488441723933,0.11977222583187576,0.2817751871958584,-0.1330803367269721,0.5165965212988103,-1.190009922319108,ts_cv,3,2022-07-29,2024-05-23
ts_cv_fold_4,0.09479810383418377,0.1309397125389226,0.4566842106787605,-0.07593662589878299,1.2483842971466568,-1.22313803268575,ts_cv,4,2024-05-23,2026-03-23
